DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2018,7615,23,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,11,4,2,501.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,20,1,2,51.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,5,2,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7612,6,6,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,6,2,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,14,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7620,19,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7603,18,1,2,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,12,6,1,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7611,19,5,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,20,2,2,18.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,10,5,2,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,21,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7608,22,4,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7604,20,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,21,3,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,19,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7615,21,3,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,16,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7612,20,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7615,23,3,2,54.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,22,2,1,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,13,5,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7611,14,2,2,21.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,23,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7621,23,1,2,120.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,22,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,24,6,2,165.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,24,3,2,438.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,22,2,1,9.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7609,25,3,2,30.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,24,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7620,1,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7602,23,5,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,25,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7613,4,3,2,24.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,1,5,2,90.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,24,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7611,24,2,2,1869.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,1,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7608,1,6,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7606,6,3,2,189.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7621,5,6,1,42.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,5,5,2,219.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,5,3,2,129.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,2,2,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,1,6,1,45.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,8,5,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,7,2,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7605,8,4,2,30.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,7,1,2,111.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,14,1,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7617,5,6,1,24.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,4,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7614,4,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7609,5,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7621,5,3,2,288.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,10,2,1,36.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,10,1,2,843.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,8,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7611,10,3,1,504.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7615,14,2,2,66.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,7,4,1,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,5,2,2,576.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,5,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7606,5,6,1,81.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,11,4,2,219.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,10,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7614,11,6,2,21.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,13,1,2,21.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,15,2,1,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,14,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,15,5,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7617,5,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7606,17,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7602,8,2,2,81.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,12,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7605,18,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,6,2,1,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,4,5,1,9.0,
