DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,1,2,6426.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,1,1,22527.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,5,1,255.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,1,2,9990.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,4,2,10821.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,1,2,351.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,4,2,5634.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,1,1,9150.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,2,2,1248.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,3,1,1041.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,3,2,1131.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,6,2,303.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,1,1,27576.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,6,2,564.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,2,1,1737.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,4,2,11331.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,2,1,2178.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,2,1,72.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,5,1,45.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,4,1,10953.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,6,1,747.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,4,2,7854.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,4,1,7674.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,5,1,1071.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,5,2,120.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,3,2,6513.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,1,2,18363.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,5,1,756.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,6,2,60.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,4,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,4,1,5520.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,1,2,13569.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,1,2,30915.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,3,2,3543.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,2,2,5553.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,5,1,1356.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,6,1,645.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,4,1,22875.0,
