DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7612,3,1,2,300.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,2,17,2,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,6,14,2,33.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,3,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7619,2,13,1,237.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,5,17,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7613,2,8,1,63.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,1,12,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7611,5,11,2,39.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,2,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7602,1,16,1,1182.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,6,4,2,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,1,10,2,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,1,9,2,1233.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,6,18,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,1,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7620,5,5,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7620,4,9,2,213.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,3,2,2,999.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,1,5,2,117.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,6,13,2,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,3,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7603,3,2,1,66.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,1,4,2,1008.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,1,8,1,2109.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,2,13,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7606,3,5,2,876.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,1,1,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,5,19,2,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,3,18,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,2,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7616,2,4,2,324.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,4,12,1,93.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,1,8,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7606,6,6,2,30.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,1,8,1,1923.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,4,19,1,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,4,18,2,18.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,6,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7620,1,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7610,5,14,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,5,14,1,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,5,1,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,5,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7608,2,10,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7618,3,12,1,543.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,4,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7602,1,16,3,,_U
