DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7612,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,12113,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,12113,99,99,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,12113,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,12114,99,99,912.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,12114,99,99,429.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,12114,99,99,543.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,12114,99,99,291.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,12114,99,99,918.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,12114,99,99,1650.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,12114,99,99,213.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,12114,99,99,390.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,12114,99,99,1155.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,12114,99,99,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,12114,99,99,480.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,12114,99,99,162.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,12114,99,99,759.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,12114,99,99,429.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,12114,99,99,798.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,12114,99,99,219.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,12114,99,99,843.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,12114,99,99,894.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,12114,99,99,870.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,12114,99,99,843.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,12114,99,99,681.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,12116,99,99,276.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,12116,99,99,153.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,12116,99,99,42.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,12116,99,99,258.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,12116,99,99,510.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,12116,99,99,168.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,12116,99,99,330.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,12116,99,99,210.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,12116,99,99,282.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,12116,99,99,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,12116,99,99,174.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,12116,99,99,570.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,12116,99,99,387.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,12116,99,99,192.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,12116,99,99,171.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,12116,99,99,270.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,12116,99,99,84.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,12116,99,99,177.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,12116,99,99,144.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,12116,99,99,210.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,12116,99,99,243.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,12117,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,12117,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,12119,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,12119,99,99,141.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,12119,99,99,33.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,12119,99,99,273.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,12119,99,99,291.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,12119,99,99,237.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,12119,99,99,240.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,12119,99,99,297.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,12119,99,99,153.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,12119,99,99,267.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,12119,99,99,204.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,12119,99,99,192.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,12119,99,99,177.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,12119,99,99,315.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,12119,99,99,207.0,
